date,open,high,low,close
2021-01-08 14:30:00+00:00,106.25,143.75,96.25,133.75
2021-01-11 14:30:00+00:00,133.75,150.0,118.75,128.75
2021-01-12 14:30:00+00:00,125.0,142.5,125.0,133.125
2021-01-13 14:30:00+00:00,137.5,208.75,131.25,203.75
2021-01-14 14:30:00+00:00,201.25,217.5,170.0,191.25
2021-01-15 14:30:00+00:00,187.5,198.75,175.0,181.25
2021-01-19 14:30:00+00:00,193.75,230.0,178.75,203.75
2021-01-20 14:30:00+00:00,206.25,208.75,182.5,191.25
2021-01-21 14:30:00+00:00,193.75,213.75,187.5,206.25
2021-01-22 14:30:00+00:00,206.25,281.25,202.5,267.5
2021-01-25 14:30:00+00:00,322.5,368.75,281.25,367.5
2021-01-26 14:30:00+00:00,365.0,400.0,351.25,375.0
2021-01-27 14:30:00+00:00,316.25,372.5,301.25,318.75
2021-01-28 14:30:00+00:00,337.5,342.5,277.5,303.375
2021-01-29 14:30:00+00:00,312.5,323.75,252.5,275.0
2021-02-01 14:30:00+00:00,275.0,293.75,233.75,256.625
2021-02-02 14:30:00+00:00,262.875,298.75,250.0,286.25
2021-02-03 14:30:00+00:00,287.5,315.0,281.25,285.5
2021-02-04 14:30:00+00:00,302.5,307.5,282.5,291.25
2021-02-05 14:30:00+00:00,302.5,377.375,300.0,370.0
2021-02-08 14:30:00+00:00,382.5,417.5,360.0,381.25
2021-02-09 14:30:00+00:00,381.25,406.25,376.25,380.0
2021-02-10 14:30:00+00:00,395.0,397.5,325.0,358.75
2021-02-11 14:30:00+00:00,358.75,390.0,350.0,365.0
2021-02-12 14:30:00+00:00,371.25,386.25,351.25,367.5
2021-02-16 14:30:00+00:00,381.25,398.75,370.0,387.5
2021-02-17 14:30:00+00:00,375.0,397.5,355.0,368.75
2021-02-18 14:30:00+00:00,368.75,375.0,338.75,356.25
2021-02-19 14:30:00+00:00,357.5,368.75,331.25,337.5
2021-02-22 14:30:00+00:00,325.0,325.0,268.75,290.625
2021-02-23 14:30:00+00:00,268.75,277.5,207.5,270.625
2021-02-24 14:30:00+00:00,271.25,300.625,268.75,300.625
2021-02-25 14:30:00+00:00,301.25,306.25,250.0,275.0
2021-02-26 14:30:00+00:00,272.5,272.5,246.25,261.25
2021-03-01 14:30:00+00:00,273.75,281.25,262.5,271.25
2021-03-02 14:30:00+00:00,360.75,378.75,320.0,343.75
2021-03-03 14:30:00+00:00,343.75,366.25,283.75,295.75
2021-03-04 14:30:00+00:00,292.5,312.5,251.125,275.0
2021-03-05 14:30:00+00:00,275.0,290.0,223.75,265.0
2021-03-08 14:30:00+00:00,268.75,291.25,257.5,277.5
