date,open,high,low,close
2019-06-17 13:30:00+00:00,62.5,64.5,61.75,64.25
2019-06-18 13:30:00+00:00,65.0,67.0,63.5,66.75
2019-06-19 13:30:00+00:00,66.5,67.75,65.0,67.75
2019-06-20 13:30:00+00:00,67.0,68.5,66.25,68.25
2019-06-21 13:30:00+00:00,68.25,71.5,68.0,71.25
2019-06-24 13:30:00+00:00,71.5,71.5,69.0,70.25
2019-06-25 13:30:00+00:00,69.0,69.75,68.25,68.75
2019-06-26 13:30:00+00:00,68.5,71.5,68.5,70.25
2019-06-27 13:30:00+00:00,70.75,71.5,70.5,71.0
2019-06-28 13:30:00+00:00,70.5,70.75,69.5,70.0
2019-07-01 13:30:00+00:00,71.25,71.25,69.0,69.75
2019-07-02 13:30:00+00:00,69.75,69.75,67.5,68.25
2019-07-03 13:30:00+00:00,69.25,70.75,68.75,70.75
2019-07-05 13:30:00+00:00,70.25,74.75,69.75,73.0
2019-07-08 13:30:00+00:00,73.0,78.5,72.5,77.75
2019-07-09 13:30:00+00:00,79.0,79.25,76.5,77.5
2019-07-10 13:30:00+00:00,77.75,80.0,76.0,79.75
2019-07-11 13:30:00+00:00,81.5,82.0,78.75,80.0
2019-07-12 13:30:00+00:00,79.75,80.75,78.75,79.25
2019-07-15 13:30:00+00:00,79.5,80.25,78.25,79.5
2019-07-16 13:30:00+00:00,79.5,79.5,78.0,78.5
2019-07-17 13:30:00+00:00,78.5,79.25,76.5,77.5
2019-07-18 13:30:00+00:00,76.5,76.5,74.75,75.75
2019-07-19 13:30:00+00:00,75.75,76.5,75.0,75.75
2019-07-22 13:30:00+00:00,76.0,76.25,75.0,75.5
2019-07-23 13:30:00+00:00,75.0,77.5,74.75,76.75
2019-07-24 13:30:00+00:00,77.0,78.0,76.0,77.75
2019-07-25 13:30:00+00:00,78.0,78.25,76.0,76.5
2019-07-26 13:30:00+00:00,77.25,78.75,77.0,78.0
2019-07-29 13:30:00+00:00,78.25,78.75,77.25,78.0
2019-07-30 13:30:00+00:00,77.5,78.5,75.0,75.5
2019-07-31 13:30:00+00:00,76.0,78.75,75.75,78.25
2019-08-01 13:30:00+00:00,78.25,78.25,70.25,70.25
2019-08-02 13:30:00+00:00,69.25,74.0,68.75,72.5
2019-08-05 13:30:00+00:00,71.5,71.75,70.25,71.5
2019-08-06 13:30:00+00:00,71.75,72.0,69.25,71.0
2019-08-07 13:30:00+00:00,70.5,72.0,70.0,71.5
2019-08-08 13:30:00+00:00,71.75,73.25,71.25,71.5
2019-08-09 13:30:00+00:00,72.0,72.75,69.0,70.5
2019-08-12 13:30:00+00:00,69.75,70.0,68.25,69.5
2019-08-13 13:30:00+00:00,67.0,68.25,65.75,67.25
2019-08-14 13:30:00+00:00,67.0,67.25,65.5,65.5
2019-08-15 13:30:00+00:00,65.75,65.75,63.0,65.0
2019-08-16 13:30:00+00:00,64.75,65.75,64.25,65.25
2019-08-19 13:30:00+00:00,65.75,67.0,65.5,67.0
2019-08-20 13:30:00+00:00,66.75,67.75,65.75,65.75
2019-08-21 13:30:00+00:00,66.5,67.75,65.75,66.25
2019-08-22 13:30:00+00:00,66.5,67.75,66.0,67.5
