Ticker,Sector,Industria,Precio Cierre,Momentum 3M,ADR Medio,Volatilidad 1W,Crec. EPS (QoQ),Crec. Ingresos,Días Res.
GH,Healthcare,Diagnostics & Research,98.91999816894531,1.2385155293749395,0.04459393088986654,0.44050821998630046,0.2611,0.385,5
TVTX,Healthcare,Biotechnology,34.529998779296875,1.1635337529301135,0.05248674639239166,0.21947919641859653,1.5745,1.621,4
TYGO,Technology,Solar,2.359999895095825,0.9186990719508493,0.07820094546801992,0.2908366620904864,0.92050004,1.15,6
BTSG,Healthcare,Health Information Services,33.4900016784668,0.7298554040623372,0.040145367935279196,0.08064991625696703,0.5286,0.282,6
ARQT,Healthcare,Biotechnology,24.760000228881836,0.7052341217828928,0.05201261908531137,0.2257333543565538,1.8096001,1.217,6
BBNX,Healthcare,Medical Devices,27.704999923706055,0.6872716074894912,0.06997641205736259,0.29474788296316073,0.8652,0.631,6
PHAT,Healthcare,Biotechnology,13.729999542236328,0.5891202542424984,0.07083997293408974,0.22302677987837027,0.7714,2.027,4
FSLR,Technology,Solar,265.7099914550781,0.44864242780297475,0.041775626158076076,0.17194286601559525,0.428,0.797,4
SNDX,Healthcare,Biotechnology,13.760000228881836,0.32562621167398415,0.056513332856770584,0.10283954154832652,0.4644,9.845,0
BBIO,Healthcare,Biotechnology,61.97999954223633,0.2980104616175147,0.039329591962851664,0.13789277020444224,0.6095,43.18,5
ATEC,Healthcare,Medical Devices,19.290000915527344,0.29724284223167485,0.03657261293854724,0.2356459746329466,1.3582001,0.304,4
LQDA,Healthcare,Biotechnology,25.219999313354492,0.2946611861398024,0.05791878047952983,0.22649760013517406,0.5704,11.217,0
PLTR,Technology,Software - Infrastructure,207.17999267578125,0.2895555082365737,0.04066736433491659,0.10945749398784531,0.5893,0.48,0
COHU,Technology,Semiconductor Equipment & Materials,24.209999084472656,0.28298876564629755,0.041767650566777954,0.11499576952640148,1.4889,0.324,5
AXSM,Healthcare,Biotechnology,135.75,0.27416931512542847,0.03373913021341563,0.10745043635794022,0.574,0.632,0
