date,open,high,low,close
2019-06-17 13:30:00+00:00,130.5,136.5,129.5,134.25
2019-06-18 13:30:00+00:00,139.0,140.0,124.5,125.25
2019-06-19 13:30:00+00:00,127.5,129.5,120.5,122.25
2019-06-20 13:30:00+00:00,124.0,130.0,117.75,119.0
2019-06-21 13:30:00+00:00,120.25,121.0,111.75,115.5
2019-06-24 13:30:00+00:00,118.25,118.25,110.0,110.75
2019-06-25 13:30:00+00:00,110.75,118.25,109.75,115.25
2019-06-26 13:30:00+00:00,116.5,117.5,111.25,112.75
2019-06-27 13:30:00+00:00,116.75,119.5,111.75,119.0
2019-06-28 13:30:00+00:00,119.5,123.0,118.5,119.5
2019-07-01 13:30:00+00:00,122.5,123.25,117.75,119.25
2019-07-02 13:30:00+00:00,118.5,120.25,115.0,119.0
2019-07-03 13:30:00+00:00,120.0,120.0,114.25,115.25
2019-07-05 13:30:00+00:00,115.5,117.75,113.0,114.0
2019-07-08 13:30:00+00:00,113.75,114.5,108.0,110.0
2019-07-09 13:30:00+00:00,110.75,111.0,107.5,109.0
2019-07-10 13:30:00+00:00,108.75,110.0,104.0,107.25
2019-07-11 13:30:00+00:00,108.0,111.0,106.75,108.5
2019-07-12 13:30:00+00:00,108.25,108.75,103.25,104.5
2019-07-15 13:30:00+00:00,105.0,109.0,102.75,105.5
2019-07-16 13:30:00+00:00,106.25,106.5,99.25,99.75
2019-07-17 13:30:00+00:00,100.25,101.0,96.75,98.0
2019-07-18 13:30:00+00:00,97.25,99.25,93.25,96.0
2019-07-19 13:30:00+00:00,96.25,97.75,93.25,93.5
2019-07-22 13:30:00+00:00,93.0,94.5,91.0,93.0
2019-07-23 13:30:00+00:00,93.0,93.0,87.75,88.75
2019-07-24 13:30:00+00:00,89.0,93.25,87.75,92.5
2019-07-25 13:30:00+00:00,98.25,98.5,81.0,81.25
2019-07-26 13:30:00+00:00,78.0,80.0,74.0,79.5
2019-07-29 13:30:00+00:00,79.25,82.5,74.5,75.0
2019-07-30 13:30:00+00:00,75.25,77.25,71.5,74.5
2019-07-31 13:30:00+00:00,74.25,74.5,61.0,64.75
2019-08-01 13:30:00+00:00,64.75,70.0,62.25,63.0
2019-08-02 13:30:00+00:00,63.0,65.0,60.5,60.5
2019-08-05 13:30:00+00:00,58.75,62.25,57.5,61.0
2019-08-06 13:30:00+00:00,62.0,63.75,58.5,60.5
2019-08-07 13:30:00+00:00,60.0,63.5,59.0,61.25
2019-08-08 13:30:00+00:00,62.0,63.0,56.25,57.0
2019-08-09 13:30:00+00:00,57.75,58.75,56.5,57.25
2019-08-12 13:30:00+00:00,53.75,59.25,53.0,57.0
2019-08-13 13:30:00+00:00,57.0,61.25,53.5,59.75
2019-08-14 13:30:00+00:00,60.75,62.5,58.5,60.75
