date,open,high,low,close
2019-06-17 13:30:00+00:00,50.5,51.0,43.0,50.5
2019-06-18 13:30:00+00:00,50.5,50.5,49.0,50.0
2019-06-19 13:30:00+00:00,49.0,50.0,45.0,50.0
2019-06-20 13:30:00+00:00,50.0,50.0,49.5,50.0
2019-06-21 13:30:00+00:00,49.5,50.0,48.5,48.5
2019-06-24 13:30:00+00:00,47.5,49.5,46.0,46.5
2019-06-25 13:30:00+00:00,49.0,49.0,45.5,47.5
2019-06-26 13:30:00+00:00,49.0,49.0,45.0,45.0
2019-06-27 13:30:00+00:00,46.5,47.5,45.0,45.0
2019-06-28 13:30:00+00:00,46.5,50.0,46.5,50.0
2019-07-01 13:30:00+00:00,49.5,51.0,48.0,48.0
2019-07-02 13:30:00+00:00,48.0,48.0,45.5,47.0
2019-07-03 13:30:00+00:00,45.5,50.0,45.5,46.0
2019-07-05 13:30:00+00:00,48.5,48.5,47.0,48.0
2019-07-08 13:30:00+00:00,46.5,52.5,45.0,52.0
2019-07-09 13:30:00+00:00,47.5,50.5,47.5,48.0
2019-07-10 13:30:00+00:00,48.5,48.5,47.0,47.5
2019-07-11 13:30:00+00:00,47.5,47.5,46.0,46.0
2019-07-12 13:30:00+00:00,46.5,47.5,45.0,46.5
2019-07-15 13:30:00+00:00,46.5,47.5,46.0,46.5
2019-07-16 13:30:00+00:00,46.0,47.0,42.5,46.5
2019-07-17 13:30:00+00:00,47.0,47.0,46.0,46.5
2019-07-18 13:30:00+00:00,46.0,46.5,46.0,46.5
2019-07-19 13:30:00+00:00,46.0,46.5,46.0,46.5
2019-07-22 13:30:00+00:00,46.5,47.0,46.0,46.0
2019-07-23 13:30:00+00:00,46.0,46.5,45.5,46.0
2019-07-24 13:30:00+00:00,46.5,46.5,46.0,46.0
2019-07-25 13:30:00+00:00,45.0,46.0,45.0,45.5
2019-07-26 13:30:00+00:00,45.5,46.5,45.5,45.5
2019-07-29 13:30:00+00:00,44.0,46.0,44.0,45.5
2019-07-30 13:30:00+00:00,46.0,46.5,44.5,44.5
2019-07-31 13:30:00+00:00,44.0,46.5,44.0,44.5
2019-08-01 13:30:00+00:00,44.5,44.5,38.0,41.5
2019-08-02 13:30:00+00:00,41.5,43.0,41.5,42.0
2019-08-05 13:30:00+00:00,41.5,44.5,41.5,42.5
2019-08-06 13:30:00+00:00,43.0,43.0,41.5,42.0
2019-08-07 13:30:00+00:00,42.0,42.5,41.5,42.5
2019-08-08 13:30:00+00:00,42.5,43.0,41.5,42.5
2019-08-09 13:30:00+00:00,43.0,43.0,41.5,42.0
2019-08-12 13:30:00+00:00,41.5,42.5,41.5,42.0
2019-08-13 13:30:00+00:00,42.0,46.5,41.5,42.5
2019-08-14 13:30:00+00:00,41.5,43.0,39.0,39.5
2019-08-15 13:30:00+00:00,44.0,44.0,39.5,39.5
2019-08-16 13:30:00+00:00,42.0,42.5,39.0,42.0
2019-08-19 13:30:00+00:00,40.0,46.5,40.0,40.5
2019-08-20 13:30:00+00:00,40.0,40.5,39.0,39.0
2019-08-21 13:30:00+00:00,40.0,40.0,39.0,39.0
2019-08-22 13:30:00+00:00,39.0,39.0,35.0,36.5
2019-08-23 13:30:00+00:00,35.5,40.0,35.0,38.0
2019-08-26 13:30:00+00:00,37.0,37.5,36.0,36.0
2019-08-27 13:30:00+00:00,37.5,38.5,34.0,34.5
2019-08-28 13:30:00+00:00,35.0,38.0,34.0,34.5
2019-08-29 13:30:00+00:00,35.0,36.0,34.5,35.0
2019-08-30 13:30:00+00:00,35.0,36.0,34.5,35.0
2019-09-03 13:30:00+00:00,35.0,36.0,35.0,35.5
2019-09-04 13:30:00+00:00,35.5,36.5,35.0,36.5
2019-09-05 13:30:00+00:00,37.5,38.0,36.5,37.0
2019-09-06 13:30:00+00:00,37.0,38.0,35.0,38.0
2019-09-09 13:30:00+00:00,38.0,38.0,35.5,36.5
2019-09-10 13:30:00+00:00,37.0,37.5,36.0,36.5
2019-09-11 13:30:00+00:00,36.5,37.5,36.5,36.5
2019-09-12 13:30:00+00:00,37.0,40.0,37.0,40.0
2019-09-13 13:30:00+00:00,40.0,40.0,37.5,39.5
2019-09-16 13:30:00+00:00,39.0,40.0,38.5,40.0
2019-09-17 13:30:00+00:00,40.0,40.5,40.0,40.5
2019-09-18 13:30:00+00:00,42.5,42.5,37.0,40.0
2019-09-19 13:30:00+00:00,37.5,40.0,35.0,37.5
2019-09-20 13:30:00+00:00,37.5,37.5,35.5,37.0
2019-09-23 13:30:00+00:00,37.0,37.5,36.0,36.0
2019-09-24 13:30:00+00:00,37.5,37.5,35.0,36.5
2019-09-25 13:30:00+00:00,37.0,37.0,36.5,37.0
2019-09-26 13:30:00+00:00,37.5,37.5,37.0,37.0
2019-09-27 13:30:00+00:00,36.0,36.0,34.5,35.5
2019-09-30 13:30:00+00:00,34.5,37.5,34.0,35.0
2019-10-01 13:30:00+00:00,34.5,37.5,34.5,35.0
2019-10-02 13:30:00+00:00,36.0,36.0,36.0,36.0
2019-10-03 13:30:00+00:00,37.0,37.0,34.5,36.0
2019-10-04 13:30:00+00:00,34.5,36.5,34.0,34.5
2019-10-07 13:30:00+00:00,36.0,36.0,34.5,34.5
2019-10-08 13:30:00+00:00,35.5,36.0,33.0,36.0
2019-10-09 13:30:00+00:00,35.0,35.0,34.5,34.5
2019-10-10 13:30:00+00:00,33.5,36.0,33.5,34.0
2019-10-11 13:30:00+00:00,36.0,36.5,31.5,31.5
2019-10-14 13:30:00+00:00,31.5,36.0,31.5,34.0
2019-10-15 13:30:00+00:00,34.0,36.0,33.5,36.0
2019-10-16 13:30:00+00:00,35.0,36.5,34.0,35.0
2019-10-17 13:30:00+00:00,34.5,35.0,33.0,33.0
2019-10-18 13:30:00+00:00,33.0,33.0,33.0,33.0
2019-10-21 13:30:00+00:00,35.0,35.0,33.5,34.5
2019-10-22 13:30:00+00:00,35.0,37.0,33.5,35.0
2019-10-23 13:30:00+00:00,34.5,38.0,34.5,37.0
2019-10-24 13:30:00+00:00,38.0,38.5,37.5,37.5
2019-10-25 13:30:00+00:00,36.0,38.0,34.0,34.0
2019-10-28 13:30:00+00:00,34.0,37.5,34.0,37.5
2019-10-29 13:30:00+00:00,36.0,37.5,34.5,37.5
2019-10-30 13:30:00+00:00,37.5,37.5,36.0,37.5
2019-10-31 13:30:00+00:00,36.0,41.5,35.5,39.0
2019-11-01 13:30:00+00:00,36.5,39.0,36.5,39.0
2019-11-04 14:30:00+00:00,39.0,39.0,36.0,36.5
2019-11-05 14:30:00+00:00,37.0,37.0,35.5,36.5
2019-11-06 14:30:00+00:00,35.5,36.5,34.0,36.5
2019-11-07 14:30:00+00:00,36.5,37.5,36.5,36.5
2019-11-08 14:30:00+00:00,34.5,38.0,34.5,37.0
2019-11-11 14:30:00+00:00,38.0,38.0,37.5,38.0
2019-11-12 14:30:00+00:00,36.0,36.5,35.0,36.5
2019-11-13 14:30:00+00:00,37.0,37.0,36.0,36.0
2019-11-14 14:30:00+00:00,35.0,36.0,34.5,35.5
2019-11-15 14:30:00+00:00,34.5,35.0,33.5,34.0
2019-11-18 14:30:00+00:00,34.0,34.0,24.5,31.5
2019-11-19 14:30:00+00:00,25.5,30.0,25.5,29.5
2019-11-20 14:30:00+00:00,29.0,30.0,26.5,26.5
2019-11-21 14:30:00+00:00,27.5,29.5,26.5,29.0
2019-11-22 14:30:00+00:00,26.5,28.5,26.5,27.0
2019-11-25 14:30:00+00:00,26.5,29.5,26.5,29.0
2019-11-26 14:30:00+00:00,27.0,30.0,27.0,28.0
2019-11-27 14:30:00+00:00,27.5,29.5,27.0,28.0
2019-11-29 14:30:00+00:00,27.0,27.5,27.0,27.0
2019-12-02 14:30:00+00:00,27.5,28.5,27.0,28.5
2019-12-03 14:30:00+00:00,27.5,27.5,26.5,27.5
