ticker,entry_day,exit_day,entry_px,exit_px,qty,ret,pnl,bars_held,exit_reason,is_stop
JPM,2025-11-11,2025-11-14,317.69051220226646,302.85529470583214,18.0,-0.04669707443761828,-267.03391493581785,4,stop,True
AMZN,2025-11-14,2025-11-20,235.20103614619003,217.46470744375836,25.0,-0.07540922860308996,-443.40821756079197,5,stop,True
NVDA,2025-11-12,2025-11-21,195.83743413755644,177.92692492690185,30.0,-0.09145600425950351,-537.3152763196379,8,stop,True
XOM,2025-11-11,2025-11-24,118.90130809236916,114.66135762139483,50.0,-0.03565940979960036,-211.99752354871677,10,stop,True
JPM,2025-12-05,2025-12-10,315.8294107880094,298.82804434173573,18.0,-0.05383085256010345,-306.02459603292596,4,stop,True
AAPL,2025-12-08,2026-01-06,278.2968850727632,263.60830786950254,21.0,-0.05278024293883199,-308.46012126847364,20,stop,True
XOM,2025-12-05,2026-01-07,116.82005811562892,119.22181282515464,50.0,0.020559437722145635,120.08773547628593,22,stop,True
JPM,2025-12-12,2026-01-13,319.8718129574354,314.2683385268901,18.0,-0.017517874984786297,-100.86253974981548,21,stop,True
AMZN,2026-01-07,2026-01-20,239.75376914432766,232.76994257575421,24.0,-0.029129162780207607,-167.61183764576276,9,stop,True
NVDA,2025-12-24,2026-02-03,188.0527673518991,176.08445190747702,31.0,-0.06364338910273004,-371.01777877708435,27,stop,True
AMZN,2026-01-23,2026-02-05,235.10098520233686,224.55014527807626,24.0,-0.044877906041866034,-253.2201581822544,10,stop,True
GOOGL,2026-01-26,2026-02-05,328.0066872713035,311.72044568121424,17.0,-0.04965216327013011,-276.8661070315177,9,stop,True
NVDA,2026-04-13,2026-04-30,186.14161767835415,200.3484925215526,31.0,0.07632293637711585,440.41312013915194,14,stop,True
JPM,2026-04-10,2026-05-12,310.18601191402394,298.06362414677955,18.0,-0.03908102655062484,-218.20297981039903,23,stop,True
XOM,2026-04-10,2026-05-19,154.1324252058497,162.4524646884306,37.0,0.053979812952849926,307.84146085549366,28,time_stop,False
GOOGL,2026-04-13,2026-05-20,317.3303024618769,388.676652994255,18.0,0.2248330839471262,1284.2343095828057,28,time_stop,False
XOM,2026-05-20,2026-05-26,161.70697469918107,150.75283069464498,36.0,-0.06774070212440608,-394.34918416329924,4,stop,True
AAPL,2026-05-01,2026-06-09,279.0273035355345,299.25649770195236,21.0,0.07249897737639022,424.81307749477526,27,stop,True
AAPL,2026-06-12,2026-06-25,296.20761888464585,280.0553523720764,19.0,-0.05453021962564619,-306.89306373881936,9,stop,True
JPM,2026-06-05,2026-07-16,314.4785946289478,342.9440907120909,18.0,0.09051648210502017,512.3789294965754,28,time_stop,False
NVDA,2026-07-13,2026-07-28,208.66511819315764,192.5785034827805,28.0,-0.07709297485689992,-450.42521189056015,12,stop,True
