ticker,entry_day,exit_day,entry_px,exit_px,qty,ret,pnl,bars_held,exit_reason,is_stop
AMZN,2025-11-26,2026-01-02,230.8784511343474,226.36409839220988,17.0,-0.019552941038705307,-76.74399661633757,25,time_stop,False
JPM,2025-11-28,2026-01-05,309.2854773381065,333.83957240268893,12.0,0.07938974463304738,294.6491407749893,25,time_stop,False
AAPL,2025-12-08,2026-01-06,278.29688436883083,263.6105402959329,14.0,-0.05277221879866223,-205.60881702057134,20,stop,True
XOM,2025-12-02,2026-01-07,116.50987211819817,119.144031134322,34.0,0.022608891145734944,89.56140654821027,25,stop,True
JPM,2026-01-08,2026-01-13,326.5858605163755,312.7453505031766,12.0,-0.04237939141429814,-166.0861201583864,4,stop,True
AMZN,2026-01-06,2026-01-20,232.239267754719,233.38597685630046,17.0,0.0049376193469252705,19.494054726884656,10,stop,True
NVDA,2025-12-24,2026-01-30,188.0527670988707,191.01532621274856,21.0,0.01575387142439788,62.213741391435036,25,time_stop,False
NVDA,2026-02-02,2026-02-04,187.3123175998278,172.05160785883064,21.0,-0.0814720032112356,-320.47490456094033,3,stop,True
AMZN,2026-01-23,2026-02-05,235.10098438573823,224.55014605974634,17.0,-0.04487789939952258,-179.36425154186213,10,stop,True
GOOGL,2026-01-26,2026-02-05,328.00668607464917,311.720446820958,12.0,-0.04965215632825448,-195.43487104429414,9,stop,True
XOM,2026-01-08,2026-02-12,119.05139698751282,149.68843853503557,33.0,0.2573429822981099,1011.022371068251,25,stop,True
AAPL,2026-02-26,2026-03-06,275.1149836804872,256.3780090098881,14.0,-0.0681059767081238,-262.31764538838775,7,stop,True
XOM,2026-04-09,2026-04-17,156.95412223234436,144.16675081083102,25.0,-0.08147203297141681,-319.68428553783355,7,stop,True
NVDA,2026-04-13,2026-04-30,186.14161742789724,200.3484904697411,21.0,0.07632292680247588,298.34433387872116,14,stop,True
JPM,2026-04-09,2026-05-12,307.13419429656665,297.5837330453129,13.0,-0.03109540203795047,-124.15599626629876,24,stop,True
GOOGL,2026-04-09,2026-05-13,316.09955209043716,402.3784200280699,12.0,0.27294840301750267,1035.346415251593,25,time_stop,False
NVDA,2026-05-06,2026-05-19,200.00993405376866,217.65640308379488,20.0,0.08822796284349721,352.9293806005245,10,stop,True
AAPL,2026-04-16,2026-05-20,266.96006930993696,302.06864827317315,15.0,0.13151247320990023,526.628684448543,25,time_stop,False
XOM,2026-05-18,2026-05-26,157.4144049667258,151.14008304592696,25.0,-0.039858626166551336,-156.85804801997136,6,stop,True
AAPL,2026-06-12,2026-06-25,296.2076182443496,280.05535314822794,13.0,-0.05453021496157884,-209.97944624958149,9,stop,True
JPM,2026-06-05,2026-07-13,314.47859396955266,334.3292686251198,12.0,0.06312249875261489,238.20809586680593,25,time_stop,False
NVDA,2026-07-13,2026-07-28,208.6651179406837,192.5785036928396,19.0,-0.07709297273354987,-305.64567070903786,12,stop,True
