ticker,entry_day,exit_day,entry_px,exit_px,qty,ret,pnl,bars_held,exit_reason,is_stop
AAPL,2025-12-22,2026-01-06,273.02370329357177,262.4397254581423,14.0,-0.038765783731418146,-148.1756896960129,10,stop,True
XOM,2025-12-23,2026-01-07,118.54108894053972,119.20771562278807,33.0,0.005623591686277907,21.998680514195527,10,stop,True
JPM,2025-12-22,2026-01-13,317.70052969836286,316.95015624707895,12.0,-0.0023618892042652773,-9.004481415406872,15,stop,True
META,2025-12-23,2026-01-14,660.4460226837017,613.8638866765733,6.0,-0.0705313294458847,-279.4928160427703,15,stop,True
AMZN,2026-01-07,2026-01-20,239.7537689809115,232.77224866739064,16.0,-0.029119543535003678,-111.70432501633377,9,stop,True
GOOGL,2025-12-22,2026-01-21,310.06593620458585,328.1829733629024,12.0,0.05842962751755687,217.40444589979825,20,time_stop,False
NVDA,2025-12-24,2026-01-23,188.05276705449984,187.5573955592939,21.0,-0.002634215401161155,-10.40280139932483,20,time_stop,False
NVDA,2026-01-26,2026-02-03,187.27230027339695,178.20942356965855,21.0,-0.04839411215917999,-190.32041077850633,7,stop,True
META,2026-01-30,2026-02-04,727.9365044988217,675.8977754787954,5.0,-0.07148800575107095,-260.19364510013133,4,stop,True
GOOGL,2026-01-22,2026-02-05,334.650685497847,310.7271742374976,11.0,-0.07148800913035436,-263.15862386384356,11,stop,True
AMZN,2026-01-23,2026-02-05,235.10098504209205,224.5501454314669,16.0,-0.044877904738409136,-168.81343377000258,10,stop,True
XOM,2026-01-12,2026-02-09,124.53468091012412,151.11927363142118,32.0,0.21347140031203837,850.7069670815058,20,time_stop,False
XOM,2026-04-10,2026-04-17,154.13242291561588,143.11379902391508,25.0,-0.07148803401172288,-275.46559729252,6,stop,True
NVDA,2026-04-13,2026-04-30,186.1416173839773,200.348493090797,21.0,0.07632294113741067,298.344389843214,14,stop,True
META,2026-04-20,2026-04-30,681.7688055562677,618.3290914826578,5.0,-0.09305165263736037,-317.1985703680497,9,stop,True
AMZN,2026-04-10,2026-05-07,235.4411853811486,271.00730873729606,16.0,0.1510616050397917,569.0579736983591,20,time_stop,False
JPM,2026-04-10,2026-05-07,310.1860135974684,306.08621358640397,12.0,-0.013217230408024694,-49.197600132773005,20,time_stop,False
GOOGL,2026-04-10,2026-05-07,320.2120044345239,397.75119197772455,12.0,0.2421495336507773,930.4702505184075,20,time_stop,False
AAPL,2026-04-16,2026-05-13,266.9600698293653,298.6906708307362,15.0,0.11885897775518406,475.9590150205639,20,time_stop,False
NVDA,2026-05-01,2026-05-22,201.40076740241417,217.26315887502895,20.0,0.0787603328289237,317.2478294522955,16,stop,True
XOM,2026-05-18,2026-05-26,157.4144050820805,151.14008303974146,25.0,-0.03985862690944597,-156.85805105847592,6,stop,True
GOOGL,2026-05-08,2026-05-29,397.2382035432558,378.7304385677664,10.0,-0.046591100277881714,-185.07764975489408,15,stop,True
AMZN,2026-05-08,2026-06-03,271.7929852368075,252.3630461203959,14.0,-0.07148800804951871,-272.01914762976264,18,stop,True
NVDA,2026-05-26,2026-06-05,216.66991788613652,209.18280152813,18.0,-0.03455540312680194,-134.7680944441173,9,stop,True
MSFT,2026-06-02,2026-06-05,447.1481364815056,415.1824071546493,9.0,-0.07148800748312734,-287.6915639417069,4,stop,True
AAPL,2026-05-14,2026-06-09,299.99990131905037,298.0311214746934,13.0,-0.006562601639869103,-25.594137976640468,18,stop,True
GOOGL,2026-06-01,2026-06-11,376.74590436755017,349.8130900290104,10.0,-0.07148800830032198,-269.3281433853974,9,stop,True
AAPL,2026-06-12,2026-06-25,296.20761874384056,275.0323266662775,13.0,-0.07148800617405915,-275.2787970083194,9,stop,True
JPM,2026-06-05,2026-07-06,314.478596335689,337.5173544066254,12.0,0.07326017840127896,276.46509685123624,20,time_stop,False
META,2026-07-13,2026-07-23,661.776837793669,607.4365126726499,6.0,-0.08211276372589138,-326.04195072611446,9,stop,True
NVDA,2026-07-13,2026-07-28,208.66511789613836,193.7480653765851,19.0,-0.07148800273833089,-283.42399787151203,12,stop,True
AAPL,2026-07-10,2026-07-31,314.9088351500707,304.3222996945943,12.0,-0.03361777846096747,-127.03842546571673,16,stop,True
JPM,2026-07-10,2026-08-06,337.6724967902835,356.08619347433705,11.0,0.05453123028698914,202.55066352458903,20,time_stop,False
GOOGL,2026-08-05,2026-08-07,383.5700037570325,356.14924603499634,10.0,-0.0714882745090919,-274.2075772203617,3,stop,True
AMZN,2026-08-05,2026-08-17,281.7589527729664,261.6165664891086,14.0,-0.07148800804951871,-281.99340797400885,9,stop,True
XOM,2026-08-05,2026-08-27,155.13302295218762,156.8112558267106,25.0,0.010818024702839768,41.95582186307476,17,stop,True
MSFT,2026-08-05,2026-09-01,496.65780489290484,500.7193734368024,8.0,0.008177800698759619,32.49254835118063,20,time_stop,False
NVDA,2026-08-05,2026-09-01,216.99011721564247,217.3095378333988,18.0,0.0014720514549466657,5.74957111961379,20,time_stop,False
