ticker,entry_day,exit_day,entry_px,exit_px,qty,ret,pnl,bars_held,exit_reason,is_stop
AAPL,2025-12-30,2026-01-06,272.97368589520073,263.64686012757636,18.0,-0.03416749030968902,-167.88286381723867,5,stop,True
AMZN,2025-12-30,2026-01-20,231.3487357325434,233.3859754677289,21.0,0.008805925516449431,42.78203443889598,14,stop,True
AAPL,2026-01-07,2026-01-20,263.35793447006654,248.99205102553205,18.0,-0.054548891695409774,-258.5859020016208,9,stop,True
NVDA,2025-12-31,2026-02-03,189.68375009896243,176.9774236907096,26.0,-0.06698690004612229,-330.3644866145737,23,stop,True
AMZN,2026-01-22,2026-02-05,234.19043610526626,224.55014472374515,21.0,-0.04116432567377726,-202.4461190119433,11,stop,True
JPM,2026-01-14,2026-02-12,308.3849499862777,303.9179363827535,16.0,-0.014485186789183424,-71.47221765638733,21,stop,True
AAPL,2026-01-28,2026-02-12,257.80458622364256,263.74300683184276,19.0,0.023034580940498373,112.82999155580387,12,stop,True
XOM,2026-01-08,2026-02-13,119.05139859786937,149.22204987817412,42.0,0.2534254249478822,1267.1673537727997,26,stop,True
GOOGL,2026-02-26,2026-03-26,312.82760309675143,284.2176377855433,16.0,-0.0914560129221067,-457.7594449793305,21,stop,True
XOM,2026-04-09,2026-04-17,156.95412365480155,142.59972090786542,31.0,-0.09145604086520598,-444.9864851550201,7,stop,True
NVDA,2026-04-10,2026-04-30,184.42058433490982,199.4456597908112,27.0,0.08147179182891895,405.67703730933704,15,stop,True
AAPL,2026-04-09,2026-05-20,259.1554023430331,302.06864726570757,19.0,0.16558884952694153,815.3516535308154,30,time_stop,False
XOM,2026-04-20,2026-05-27,147.46843993110093,146.1651908476559,33.0,-0.008837477931236792,-43.0072197536858,27,stop,True
AMZN,2026-06-03,2026-06-12,254.8528199510565,234.71732713052816,19.0,-0.07900831870094771,-382.5743635900382,8,stop,True
XOM,2026-05-28,2026-06-15,149.4296074747476,139.51641480423905,33.0,-0.06634021756487452,-327.1353581267822,13,stop,True
GOOGL,2026-06-03,2026-06-22,362.24722095552005,343.6936149172916,13.0,-0.05121807695111791,-241.19687849696987,13,stop,True
AAPL,2026-06-10,2026-06-25,290.9144365818235,278.64025221127827,17.0,-0.04219173346900218,-208.66113429926912,11,stop,True
AMZN,2026-06-15,2026-06-25,245.16701931760588,225.28626744561936,20.0,-0.08109064558243717,-397.6150374397304,8,stop,True
NVDA,2026-06-08,2026-06-26,210.30610142693783,191.07234592687178,23.0,-0.09145600327125092,-442.3763765015192,14,stop,True
GOOGL,2026-06-23,2026-07-23,340.89442067597935,320.61619288492676,14.0,-0.059485361335165576,-283.8951890747362,22,stop,True
AMZN,2026-07-01,2026-07-24,239.8938529771402,231.1828329531467,20.0,-0.036311976800937895,-174.22040047987025,17,stop,True
XOM,2026-06-16,2026-07-29,140.27412355067918,156.65594205257938,35.0,0.1167843226336871,573.363647566507,30,time_stop,False
NVDA,2026-06-29,2026-07-29,193.96631686462158,190.75433073783816,25.0,-0.016559504653713697,-80.29965316958538,22,stop,True
AAPL,2026-06-26,2026-07-31,275.1650022259052,304.3222990953067,17.0,0.10596295543960155,495.6740467798251,25,stop,True
