ticker,entry_day,exit_day,entry_px,exit_px,qty,ret,pnl,bars_held,exit_reason,is_stop
META,2025-12-24,2026-01-14,662.9275537631013,616.2897072345147,9.0,-0.07035134723824243,-419.7406187572792,14,stop,True
AMZN,2025-12-26,2026-01-20,232.17922091967637,233.38597485108954,25.0,0.005197510468995192,30.168848285329375,16,stop,True
NVDA,2025-12-24,2026-02-03,188.05276733836683,176.08222511166082,31.0,-0.06365523037035237,-371.0868090278865,27,stop,True
AMZN,2026-01-23,2026-02-05,235.10098640124292,224.55014413045132,25.0,-0.04487791579395872,-263.7710567697901,10,stop,True
GOOGL,2026-01-26,2026-02-05,328.00668847834515,311.7204445315771,18.0,-0.04965217027226354,-293.15239104182547,9,stop,True
AAPL,2026-02-26,2026-03-06,275.1149849157534,256.37816310558156,21.0,-0.06810542077854997,-393.4732580136082,7,stop,True
XOM,2026-04-09,2026-04-17,156.95412488645147,142.59972090539955,37.0,-0.09145604801044005,-531.112947298921,7,stop,True
JPM,2026-04-09,2026-05-12,307.1342010906478,297.58373611304023,19.0,-0.031095413482749357,-181.4588345745442,24,stop,True
GOOGL,2026-04-10,2026-05-19,320.21200581134957,387.4274018402034,18.0,0.20990904403644772,1209.8771285193689,28,time_stop,False
XOM,2026-05-18,2026-05-26,157.41440762861635,151.14008125171077,37.0,-0.03985865380066367,-232.15007594550636,6,stop,True
AAPL,2026-04-20,2026-05-28,270.49218722021493,312.32250068933877,21.0,0.15464518180360098,878.4365828516006,28,time_stop,False
AAPL,2026-06-12,2026-06-25,296.20761954857386,280.0553525571144,20.0,-0.05453022112015826,-323.04533982918883,9,stop,True
JPM,2026-06-05,2026-07-16,314.4786008604778,342.9440839083446,18.0,0.09051643886095717,512.3786948616029,28,time_stop,False
NVDA,2026-07-13,2026-07-28,208.66511817959528,192.57850339468956,28.0,-0.07709297521907899,-450.42521397736016,12,stop,True
XOM,2026-08-06,2026-08-27,154.3125415777903,156.80465218970122,38.0,0.016149760650884026,94.7002032526143,16,stop,True
NVDA,2026-08-05,2026-09-14,216.99011751068318,210.90202060773245,27.0,-0.028057023853406582,-164.37861637966955,28,stop,True
AAPL,2026-08-06,2026-09-15,314.52860298289903,331.14118954971724,18.0,0.05281741122832462,299.02655820272776,28,time_stop,False
AMZN,2026-08-28,2026-09-15,258.4750030541995,247.0366696508086,23.0,-0.04425315124570239,-263.0816682779904,12,stop,True
