feature,mean_abs_shap,normalized_importance
rsi_21,0.1273538,1.0
slope_sma_50,0.12075244,0.9481652
atr_norm,0.110079065,0.86435634
volatility_20,0.10884251,0.8546467
dmp_14,0.09954002,0.78160226
dist_sma_200,0.098043814,0.76985383
log_return_3m,0.09718968,0.76314706
volume_ratio,0.08764293,0.6881846
rsi_14,0.08717509,0.6845111
log_return_6m,0.07931979,0.62283015
dist_sma_50,0.07871126,0.6180519
adxr_14_2,0.07053639,0.5538617
dmn_14,0.066995084,0.52605486
adx_14,0.066876344,0.52512246
volume_zscore,0.06613846,0.51932853
rsi_7,0.06365644,0.49983937
price_rel_ma10,0.06228,0.4890313
slope_rsi_14,0.05588191,0.43879265
return_6m,0.041013047,0.32204023
return_3m,0.029266693,0.2298062
ma10_ma20_cross_status,0.019316886,0.1516789
